shipment_id,order_id,shipment_timestamp,delivery_timestamp,shipment_status,carrier,shipping_country
SHP00000064,ORD00003150,2025-08-30 12:06:02,2025-09-05 12:06:02,delivered,DHL,CO
SHP00000065,ORD00008034,2023-07-23 23:25:42,2023-07-24 23:25:42,delivered,Correos,MX
SHP00000066,ORD00012710,2025-04-28 19:44:22,2025-05-06 19:44:22,delivered,USPS,CA
SHP00000067,ORD00013196,2023-03-09 00:39:41,,shipped,USPS,CA
SHP00000068,ORD00013003,2025-02-02 15:41:38,,shipped,Servientrega,ES
SHP00000069,ORD00007253,2024-04-12 06:33:27,2024-04-15 06:33:27,delivered,DHL,AR
SHP00000070,ORD00011220,2023-08-17 03:18:05,2023-08-23 03:18:05,delivered,DHL,MX
SHP00000071,ORD00009680,2023-08-11 18:22:24,2023-08-17 18:22:24,delivered,Correos,MX
SHP00000072,ORD00014526,2026-02-28 19:43:37,2026-03-04 19:43:37,delivered,Servientrega,CO
SHP00000073,ORD00011074,2024-01-29 01:28:41,2024-02-02 01:28:41,delivered,UPS,BR
SHP00000074,ORD00004961,2025-08-18 16:51:06,2025-08-20 16:51:06,delivered,USPS,CO
SHP00000075,ORD00011335,2023-04-27 07:39:33,2023-04-30 07:39:33,delivered,USPS,BR
SHP00000076,ORD00006746,2024-09-13 20:18:24,2024-09-15 20:18:24,delivered,DHL,US
SHP00000077,ORD00004427,2023-07-28 19:20:43,2023-07-30 19:20:43,delivered,DHL,CO
SHP00000078,ORD00013602,2025-10-03 04:44:38,2025-10-08 04:44:38,delivered,UPS,CL
SHP00000079,ORD00007112,2023-11-25 19:51:54,2023-12-03 19:51:54,delayed,Correos,MX
SHP00000080,ORD00009765,2023-03-17 15:21:59,,shipped,DHL,CA
SHP00000081,ORD00011909,2024-03-14 03:28:26,2024-03-19 03:28:26,delivered,FedEx,MX
SHP00000082,ORD00013385,2024-04-09 01:39:01,2024-04-14 01:39:01,delivered,Servientrega,BR
SHP00000083,ORD00001312,2025-03-07 14:18:28,2025-03-10 14:18:28,delivered,DHL,BR
SHP00000084,ORD00000952,2024-07-24 21:57:13,,shipped,UPS,US
SHP00000085,ORD00005169,2024-05-07 23:41:15,,shipped,UPS,US
SHP00000086,ORD00002562,2024-05-05 19:47:02,2024-05-09 19:47:02,delivered,USPS,US
SHP00000087,ORD00013563,2023-07-08 23:03:57,,shipped,DHL,AR
SHP00000088,ORD00009286,2023-06-22 08:57:58,,shipped,FedEx,ES
SHP00000089,ORD00007355,2024-12-14 00:08:44,2024-12-18 00:08:44,delivered,DHL,ES
SHP00000090,ORD00007922,2023-05-07 18:42:00,2023-05-15 18:42:00,delivered,Servientrega,US
SHP00000091,ORD00014437,2023-06-25 23:33:00,2023-07-01 23:33:00,delivered,FedEx,AR
SHP00000092,ORD00007993,2026-02-23 05:23:04,2026-03-01 05:23:04,delivered,USPS,BR
SHP00000093,ORD00003504,2023-07-18 20:42:56,,shipped,FedEx,BR
SHP00000094,ORD00013479,2024-04-14 04:50:06,,shipped,UPS,MX
SHP00000095,ORD00006671,2025-07-20 19:36:17,2025-07-21 19:36:17,delivered,Servientrega,CL
SHP00000096,ORD00008257,2025-05-16 16:02:56,2025-05-18 16:02:56,delivered,USPS,CA
SHP00000097,ORD00001874,2025-02-12 17:51:10,2025-02-13 17:51:10,delivered,UPS,CO
SHP00000098,ORD00000448,2023-06-10 22:30:26,2023-06-18 22:30:26,delivered,Servientrega,AR
SHP00000099,ORD00008614,2023-06-02 19:03:41,2023-06-09 19:03:41,delivered,UPS,US
SHP00000100,ORD00001087,2025-07-16 18:08:10,2025-07-19 18:08:10,delivered,USPS,CL
SHP00000101,ORD00004371,2023-10-12 01:14:19,,shipped,FedEx,CA
SHP00000102,ORD00009710,2023-02-14 02:34:25,2023-02-17 02:34:25,delivered,FedEx,CL
SHP00000103,ORD00000015,2023-11-22 04:23:34,,shipped,USPS,CA
SHP00000104,ORD00011421,2024-07-19 13:27:16,,shipped,Servientrega,CO
SHP00000105,ORD00000792,2024-02-15 11:55:46,2024-02-18 11:55:46,delivered,Correos,US
SHP00000106,ORD00002786,2023-05-26 13:33:06,2023-05-30 13:33:06,delivered,Servientrega,AR
SHP00000107,ORD00009241,2023-01-30 00:02:43,2023-02-07 00:02:43,delivered,USPS,CL
SHP00000108,ORD00001360,2025-05-23 22:29:06,,shipped,Correos,MX
SHP00000109,ORD00012054,2023-07-21 08:01:27,,shipped,DHL,CO
SHP00000110,ORD00009895,2024-06-22 06:59:49,,shipped,USPS,CO
SHP00000111,ORD00008792,2023-08-18 23:54:05,,delayed,FedEx,ES
SHP00000112,ORD00006582,2026-01-29 23:36:00,2026-02-02 23:36:00,delivered,FedEx,MX
SHP00000113,ORD00008851,2023-11-03 07:52:16,2023-11-11 07:52:16,delivered,USPS,CL
SHP00000114,ORD00002494,2024-05-03 11:38:43,2024-05-04 11:38:43,delivered,USPS,US
SHP00000115,ORD00010371,2023-05-22 07:10:10,2023-05-24 07:10:10,delivered,USPS,US
SHP00000116,ORD00007182,2023-11-06 05:06:11,2023-11-08 05:06:11,delivered,DHL,CA
SHP00000117,ORD00013088,2025-07-14 11:44:02,2025-07-21 11:44:02,delivered,Correos,ES
SHP00000118,ORD00005668,2024-07-28 13:10:22,2024-08-05 13:10:22,delivered,USPS,ES
SHP00000119,ORD00001807,2024-05-28 04:59:09,2024-05-31 04:59:09,delivered,FedEx,MX
SHP00000120,ORD00011870,2024-03-14 23:47:06,,shipped,Servientrega,CA
SHP00000121,ORD00004662,2026-02-06 21:37:40,2026-02-13 21:37:40,delivered,Correos,AR
SHP00000122,ORD00011030,2025-12-18 13:44:37,,shipped,Correos,MX
SHP00000123,ORD00008550,2024-02-26 21:58:39,2024-03-02 21:58:39,delivered,UPS,MX
SHP00000124,ORD00003236,2024-12-23 06:29:02,2024-12-26 06:29:02,delivered,Correos,CO
SHP00000125,ORD00011749,2023-06-20 12:08:42,,shipped,DHL,CO
SHP00000126,ORD00002897,2024-04-03 12:06:41,2024-04-11 12:06:41,delivered,Correos,BR
SHP00000127,ORD00010207,2025-01-29 12:19:23,2025-02-06 12:19:23,delivered,FedEx,AR
SHP00000128,ORD00002198,2024-12-22 00:04:51,2024-12-23 00:04:51,delivered,USPS,ES
SHP00000129,ORD00000385,2023-08-29 09:41:45,2023-09-04 09:41:45,delivered,Servientrega,AR
SHP00000130,ORD00010597,2024-10-06 02:11:31,2024-10-14 02:11:31,delivered,Servientrega,MX
SHP00000131,ORD00010443,2025-03-19 01:40:07,2025-03-27 01:40:07,delivered,Servientrega,BR
SHP00000132,ORD00014897,2024-03-20 10:23:38,2024-03-26 10:23:38,delivered,DHL,BR
SHP00000133,ORD00001781,2023-04-10 03:58:12,2023-04-17 03:58:12,delivered,USPS,BR
SHP00000134,ORD00008729,2024-10-21 11:25:33,2024-10-29 11:25:33,delivered,UPS,MX
SHP00000135,ORD00003049,2023-11-30 10:36:01,2023-12-01 10:36:01,delivered,USPS,CO
SHP00000136,ORD00009752,2023-05-01 10:14:49,,shipped,UPS,CL
SHP00000137,ORD00014068,2023-05-14 05:35:19,2023-05-20 05:35:19,delivered,DHL,US
SHP00000138,ORD00003806,2024-01-06 05:40:04,2024-01-20 05:40:04,delayed,Correos,US
SHP00000139,ORD00007911,2026-02-21 20:50:29,2026-02-23 20:50:29,delivered,USPS,CA
SHP00000140,ORD00003193,2024-02-04 14:45:47,,shipped,Servientrega,CL
SHP00000141,ORD00014622,2025-09-20 01:27:03,2025-09-26 01:27:03,delivered,Servientrega,AR
SHP00000142,ORD00007835,2024-08-15 06:55:46,,shipped,UPS,ES
SHP00000143,ORD00005719,2023-06-28 14:07:30,2023-07-04 14:07:30,delivered,Correos,CL
SHP00000144,ORD00011735,2023-01-03 18:27:12,,delayed,FedEx,CL
SHP00000145,ORD00010660,2025-04-07 10:42:40,,shipped,USPS,CA
SHP00000146,ORD00005222,2025-02-09 00:14:20,2025-02-15 00:14:20,delivered,USPS,MX
SHP00000147,ORD00002661,2024-07-29 13:03:27,2024-07-31 13:03:27,delivered,Correos,ES
SHP00000148,ORD00011926,2023-06-28 10:02:32,2023-07-03 10:02:32,delivered,FedEx,AR
SHP00000149,ORD00000392,2026-02-26 09:20:51,2026-03-02 09:20:51,delivered,Correos,AR
SHP00000150,ORD00005864,2026-02-13 01:42:06,2026-02-18 01:42:06,delivered,FedEx,MX
SHP00000151,ORD00000187,2026-01-09 11:29:56,2026-01-16 11:29:56,delivered,USPS,CO
SHP00000152,ORD00010755,2024-02-16 06:52:23,2024-02-21 06:52:23,delivered,Correos,MX
SHP00000153,ORD00000186,2025-11-11 06:54:32,2025-11-12 06:54:32,delivered,UPS,ES
SHP00000154,ORD00009362,2024-04-22 17:06:37,,shipped,USPS,AR
SHP00000155,ORD00012354,2024-09-04 14:05:00,2024-09-09 14:05:00,delivered,DHL,US
SHP00000156,ORD00011822,2024-04-16 10:59:31,,delayed,Servientrega,CO
SHP00000157,ORD00014332,2023-06-23 18:00:50,2023-06-24 18:00:50,delivered,UPS,BR
SHP00000158,ORD00004343,2025-06-06 02:57:53,,delayed,UPS,AR
SHP00000159,ORD00001849,2024-06-12 01:27:56,,shipped,FedEx,CL
SHP00000160,ORD00009892,2024-02-21 08:38:09,2024-02-23 08:38:09,delivered,UPS,MX
SHP00000161,ORD00004979,2026-02-25 13:11:19,2026-02-28 13:11:19,delivered,USPS,CA
SHP00000162,ORD00010192,2025-12-17 18:28:42,2025-12-18 18:28:42,delivered,USPS,BR
SHP00000163,ORD00003122,2024-08-06 19:52:18,2024-08-09 19:52:18,delivered,USPS,AR
SHP00000164,ORD00006649,2025-11-15 09:14:01,2025-11-20 09:14:01,delivered,Correos,CA
SHP00000165,ORD00002104,2025-01-23 06:53:30,2025-01-26 06:53:30,delivered,USPS,CL
SHP00000166,ORD00003934,2025-03-27 08:00:05,2025-03-29 08:00:05,delivered,Servientrega,CL
SHP00000167,ORD00009032,2023-03-03 00:29:08,2023-03-05 00:29:08,delivered,UPS,CL
SHP00000168,ORD00008716,2023-08-21 15:12:59,2023-08-27 15:12:59,delivered,Servientrega,CL
SHP00000169,ORD00003222,2025-07-02 10:06:07,2025-07-10 10:06:07,delivered,FedEx,ES
SHP00000170,ORD00006727,2025-07-27 09:00:19,2025-08-04 09:00:19,delivered,Correos,MX
SHP00000171,ORD00013782,2023-12-19 13:33:23,2023-12-29 13:33:23,delayed,Servientrega,CL
SHP00000172,ORD00010698,2024-11-26 06:48:34,2024-11-28 06:48:34,delivered,UPS,CL
SHP00000173,ORD00006386,2025-06-19 23:21:24,,shipped,UPS,BR
SHP00000174,ORD00004294,2023-12-23 05:56:38,2023-12-24 05:56:38,delivered,Servientrega,ES
SHP00000175,ORD00006519,2023-01-23 11:45:43,,shipped,FedEx,MX
SHP00000176,ORD00009476,2023-02-05 00:41:18,2023-02-09 00:41:18,delivered,USPS,AR
SHP00000177,ORD00011563,2023-12-27 23:22:36,2024-01-04 23:22:36,delivered,DHL,CL
SHP00000178,ORD00007343,2024-12-19 13:44:34,2024-12-25 13:44:34,delivered,Servientrega,MX
SHP00000179,ORD00005064,2023-02-20 18:33:31,2023-02-25 18:33:31,delivered,Correos,CA
SHP00000180,ORD00004825,2024-07-04 04:31:54,2024-07-06 04:31:54,delivered,Servientrega,CL
SHP00000181,ORD00001194,2024-01-10 07:18:01,,shipped,Correos,CL
SHP00000182,ORD00005214,2024-02-17 02:37:31,2024-02-19 02:37:31,delivered,FedEx,CA
SHP00000183,ORD00011171,2026-02-04 00:14:50,2026-02-06 00:14:50,delivered,USPS,ES
SHP00000184,ORD00011143,2023-12-25 16:03:56,,shipped,UPS,CO
SHP00000185,ORD00010952,2025-12-06 01:11:31,,shipped,UPS,ES
SHP00000186,ORD00014191,2024-08-06 18:06:47,2024-08-10 18:06:47,delivered,Servientrega,CO
SHP00000187,ORD00006275,2024-11-12 10:36:34,2024-11-18 10:36:34,delivered,Servientrega,CL
SHP00000188,ORD00001201,2025-06-21 20:23:40,2025-06-23 20:23:40,delivered,FedEx,AR
SHP00000189,ORD00009040,2023-11-25 01:57:10,2023-12-03 01:57:10,delivered,FedEx,BR
SHP00000190,ORD00010302,2023-07-02 04:51:33,,shipped,Servientrega,MX
SHP00000191,ORD00008294,2023-08-19 05:55:45,2023-08-20 05:55:45,delivered,USPS,AR
SHP00000192,ORD00002240,2025-09-18 06:00:44,,shipped,DHL,CO
SHP00000193,ORD00012289,2024-03-30 12:30:35,2024-04-07 12:30:35,delivered,UPS,CA
SHP00000194,ORD00013612,2023-11-16 16:17:18,,shipped,FedEx,ES
SHP00000195,ORD00004703,2025-12-18 04:19:44,2025-12-21 04:19:44,delivered,UPS,AR
SHP00000196,ORD00008662,2025-04-23 04:48:27,,shipped,UPS,CL
SHP00000197,ORD00001411,2025-05-07 06:14:51,2025-05-13 06:14:51,delivered,UPS,CL
SHP00000198,ORD00006940,2023-11-21 23:30:31,2023-11-24 23:30:31,delivered,DHL,CL
SHP00000199,ORD00002953,2024-02-12 15:37:38,2024-02-19 15:37:38,delivered,FedEx,BR
SHP00000200,ORD00009571,2024-01-03 08:19:38,2024-01-11 08:19:38,delivered,UPS,US
SHP00000201,ORD00008252,2025-01-13 10:23:13,2025-01-19 10:23:13,delivered,USPS,MX
SHP00000202,ORD00002163,2023-05-19 04:38:53,,shipped,USPS,US
SHP00000203,ORD00013516,2024-03-30 13:44:17,2024-04-01 13:44:17,delivered,Correos,CA
SHP00000204,ORD00001499,2024-05-11 18:58:41,2024-05-15 18:58:41,delivered,DHL,CL
SHP00000205,ORD00008175,2024-07-29 20:26:32,2024-08-03 20:26:32,delivered,FedEx,BR
SHP00000206,ORD00012726,2025-08-10 08:03:23,,shipped,DHL,CL
SHP00000207,ORD00014433,2024-12-20 00:22:21,2024-12-28 00:22:21,delivered,USPS,CL
SHP00000208,ORD00010895,2025-01-09 07:23:56,2025-01-12 07:23:56,delivered,Servientrega,ES
SHP00000209,ORD00010271,2024-11-18 06:27:59,2024-11-21 06:27:59,delivered,FedEx,CL
SHP00000210,ORD00002476,2025-04-12 19:20:25,2025-04-16 19:20:25,delivered,Servientrega,CL
SHP00000211,ORD00012451,2023-12-26 11:58:44,2023-12-31 11:58:44,delivered,UPS,CA
SHP00000212,ORD00010805,2024-05-14 07:51:07,2024-05-19 07:51:07,delivered,Servientrega,BR
SHP00000213,ORD00008050,2024-06-01 22:50:17,2024-06-09 22:50:17,delivered,Servientrega,ES
SHP00000214,ORD00014948,2023-01-12 22:49:18,,shipped,Servientrega,MX
SHP00000215,ORD00002244,2023-05-02 22:18:22,,shipped,DHL,BR
SHP00000216,ORD00013780,2025-11-07 12:34:26,,shipped,USPS,ES
SHP00000217,ORD00002264,2025-02-21 14:28:28,,shipped,DHL,CL
SHP00000218,ORD00003764,2023-01-20 15:41:53,2023-01-24 15:41:53,delivered,Correos,AR
SHP00000219,ORD00000108,2024-10-05 21:05:43,2024-10-17 21:05:43,delayed,DHL,BR
SHP00000220,ORD00001198,2024-12-01 14:14:27,2024-12-08 14:14:27,delayed,FedEx,US
SHP00000221,ORD00012869,2024-03-27 21:26:04,2024-04-04 21:26:04,delivered,USPS,AR
SHP00000222,ORD00005988,2025-11-11 11:00:48,2025-11-12 11:00:48,delivered,Correos,US
SHP00000223,ORD00005808,2025-07-22 21:12:07,2025-07-25 21:12:07,delivered,USPS,MX
SHP00000224,ORD00011424,2023-11-08 12:59:03,2023-11-10 12:59:03,delivered,FedEx,AR
SHP00000225,ORD00003310,2025-02-19 02:29:30,2025-02-26 02:29:30,delivered,FedEx,CL
SHP00000226,ORD00010593,2026-01-27 17:14:25,2026-02-03 17:14:25,delivered,Servientrega,US
SHP00000227,ORD00005358,2024-02-19 22:26:55,2024-02-22 22:26:55,delivered,UPS,ES
SHP00000228,ORD00012379,2024-09-28 14:48:43,2024-10-01 14:48:43,delivered,DHL,CL
SHP00000229,ORD00010255,2023-07-25 09:41:09,2023-07-26 09:41:09,delivered,FedEx,CO
SHP00000230,ORD00008637,2025-06-09 07:22:51,2025-06-15 07:22:51,delivered,Servientrega,ES
SHP00000231,ORD00012544,2024-08-09 10:15:37,,shipped,Correos,US
SHP00000232,ORD00013571,2024-01-05 05:02:58,2024-01-10 05:02:58,delivered,DHL,CO
SHP00000233,ORD00005964,2023-10-31 10:04:23,2023-11-06 10:04:23,delivered,UPS,AR
SHP00000234,ORD00009552,2023-10-01 13:30:05,2023-10-02 13:30:05,delivered,FedEx,CO
SHP00000235,ORD00007439,2024-01-01 06:28:00,2024-01-06 06:28:00,delivered,USPS,CO
SHP00000236,ORD00001462,2025-01-23 01:59:16,2025-01-25 01:59:16,delivered,UPS,CO
SHP00000237,ORD00006014,2024-11-07 00:34:40,,shipped,DHL,AR
SHP00000238,ORD00009990,2023-06-25 15:46:44,2023-06-26 15:46:44,delivered,Correos,ES
SHP00000239,ORD00007435,2024-02-14 02:08:19,,shipped,FedEx,CL
SHP00000240,ORD00010150,2024-02-25 21:14:46,2024-03-03 21:14:46,delivered,USPS,CO
SHP00000241,ORD00008159,2024-05-11 14:17:43,2024-05-12 14:17:43,delivered,Servientrega,MX
SHP00000242,ORD00002267,2025-12-10 16:07:15,2025-12-17 16:07:15,delivered,Servientrega,CL
SHP00000243,ORD00005739,2024-06-09 10:07:35,2024-06-11 10:07:35,delivered,DHL,US
SHP00000244,ORD00001104,2023-11-02 17:06:42,,shipped,Servientrega,BR
SHP00000245,ORD00007073,2024-08-16 20:15:01,,shipped,Correos,ES
SHP00000246,ORD00013961,2024-03-08 03:08:38,2024-03-15 03:08:38,delivered,USPS,MX
SHP00000247,ORD00008147,2023-09-08 20:12:13,2023-09-14 20:12:13,delivered,UPS,CA
SHP00000248,ORD00000316,2024-01-28 08:48:39,2024-02-01 08:48:39,delivered,UPS,CA
SHP00000249,ORD00005472,2023-06-29 02:39:23,2023-07-06 02:39:23,delivered,DHL,AR
SHP00000250,ORD00013029,2025-07-29 02:45:30,2025-08-01 02:45:30,delivered,DHL,CO
SHP00000251,ORD00004095,2026-02-17 08:50:15,,shipped,Servientrega,US
SHP00000252,ORD00010450,2026-02-02 01:19:02,2026-02-05 01:19:02,delivered,USPS,CO
SHP00000253,ORD00007360,2024-11-24 03:20:44,2024-12-02 03:20:44,delivered,DHL,BR
SHP00000254,ORD00002093,2024-06-07 06:24:57,2024-06-19 06:24:57,delayed,Servientrega,ES
SHP00000255,ORD00004045,2024-08-19 07:57:43,2024-08-23 07:57:43,delivered,Servientrega,ES
SHP00000256,ORD00000795,2024-08-30 09:31:12,,shipped,USPS,MX
SHP00000257,ORD00014937,2024-07-22 03:22:17,2024-07-27 03:22:17,delayed,DHL,CL
SHP00000258,ORD00008095,2023-08-13 10:55:52,,shipped,USPS,MX
SHP00000259,ORD00009625,2023-02-05 17:06:05,2023-02-10 17:06:05,delivered,Correos,AR
SHP00000260,ORD00011678,2024-12-21 09:35:05,,shipped,Correos,ES
SHP00000261,ORD00004317,2023-10-26 02:34:24,2023-11-02 02:34:24,delivered,Servientrega,BR
SHP00000262,ORD00014634,2026-01-30 04:08:58,2026-02-06 04:08:58,delivered,FedEx,US
SHP00000263,ORD00011339,2023-07-03 11:06:09,2023-07-05 11:06:09,delivered,Servientrega,MX
SHP00000264,ORD00004396,2024-08-28 06:19:23,2024-09-02 06:19:23,delivered,FedEx,BR
SHP00000265,ORD00014930,2025-06-04 15:55:47,2025-06-05 15:55:47,delivered,Correos,AR
SHP00000266,ORD00002948,2024-10-09 02:01:15,2024-10-13 02:01:15,delivered,DHL,MX
SHP00000267,ORD00004181,2025-10-09 23:09:42,2025-10-12 23:09:42,delivered,FedEx,AR
SHP00000268,ORD00011556,2023-07-22 20:30:24,2023-07-30 20:30:24,delivered,FedEx,US
SHP00000269,ORD00006276,2024-11-19 05:47:12,2024-11-20 05:47:12,delivered,Servientrega,BR
SHP00000270,ORD00008327,2024-02-01 05:32:38,2024-02-08 05:32:38,delivered,UPS,CA
SHP00000271,ORD00005374,2023-08-22 10:53:47,2023-08-25 10:53:47,delivered,DHL,CO
SHP00000272,ORD00008738,2024-12-21 03:38:02,2024-12-29 03:38:02,delivered,FedEx,AR
SHP00000273,ORD00003659,2025-06-06 19:23:52,2025-06-14 19:23:52,delivered,Correos,CA
SHP00000274,ORD00007240,2025-08-19 15:34:47,2025-08-25 15:34:47,delivered,USPS,CA
SHP00000275,ORD00000437,2023-12-08 20:10:04,2023-12-12 20:10:04,delivered,UPS,CL
SHP00000276,ORD00012439,2024-10-29 17:39:20,2024-11-02 17:39:20,delivered,Servientrega,CL
SHP00000277,ORD00001478,2023-05-16 19:25:28,2023-05-21 19:25:28,delivered,UPS,AR
SHP00000278,ORD00013768,2024-09-13 22:45:21,2024-09-18 22:45:21,delivered,FedEx,CO
SHP00000279,ORD00008118,2025-09-06 04:43:52,2025-09-09 04:43:52,delivered,UPS,AR
SHP00000280,ORD00009009,2025-02-13 10:30:13,2025-02-15 10:30:13,delivered,DHL,AR
SHP00000281,ORD00002262,2023-09-12 11:10:01,,shipped,DHL,MX
SHP00000282,ORD00014151,2024-11-19 06:37:29,2024-11-27 06:37:29,delivered,USPS,AR
SHP00000283,ORD00002425,2025-10-24 02:30:48,,shipped,UPS,CA
SHP00000284,ORD00008253,2023-01-26 21:47:04,,shipped,USPS,CO
SHP00000285,ORD00007866,2024-05-12 21:03:32,2024-05-16 21:03:32,delivered,UPS,CA
SHP00000286,ORD00004372,2024-02-25 19:00:18,2024-02-27 19:00:18,delivered,UPS,ES
