payment_id,order_id,payment_timestamp,payment_method,payment_status,payment_amount,currency
PAY00013147,ORD00011735,2023-01-02 23:58:12,paypal,paid,1096.1,USD
PAY00015269,ORD00013637,2023-01-03 06:11:37,debit_card,paid,403.84,USD
PAY00010498,ORD00009359,2023-01-03 07:08:07,paypal,paid,711.27,USD
PAY00013498,ORD00012048,2023-01-03 07:54:49,credit_card,paid,4670.48,USD
PAY00016486,ORD00014716,2023-01-03 09:48:22,debit_card,paid,571.51,USD
PAY00007294,ORD00006495,2023-01-03 11:44:12,credit_card,pending,1158.26,USD
PAY00012635,ORD00011282,2023-01-03 14:03:01,credit_card,failed,781.6,USD
PAY00008440,ORD00007526,2023-01-03 17:53:28,paypal,paid,3216.2,USD
PAY00009277,ORD00008279,2023-01-04 02:33:54,credit_card,paid,2656.41,USD
PAY00010015,ORD00008939,2023-01-04 06:00:07,credit_card,pending,274.85,USD
PAY00003659,ORD00003271,2023-01-04 06:32:12,debit_card,failed,7795.69,USD
PAY00003506,ORD00003132,2023-01-04 07:31:45,credit_card,paid,101.57,USD
PAY00014236,ORD00012705,2023-01-04 08:44:51,wallet,paid,8941.49,USD
PAY00009278,ORD00008279,2023-01-04 08:51:54,wallet,paid,2656.41,USD
PAY00012570,ORD00011225,2023-01-04 09:27:48,credit_card,paid,826.1,USD
PAY00005219,ORD00004653,2023-01-04 10:04:48,debit_card,paid,1185.57,USD
PAY00000150,ORD00000129,2023-01-04 11:03:29,credit_card,paid,2010.56,USD
PAY00011280,ORD00010060,2023-01-04 13:22:26,credit_card,paid,2668.55,USD
PAY00010016,ORD00008939,2023-01-04 14:30:07,credit_card,paid,274.85,USD
PAY00013847,ORD00012362,2023-01-04 16:32:39,wallet,paid,2446.84,USD
PAY00002466,ORD00002210,2023-01-04 19:40:07,paypal,paid,2718.94,USD
PAY00015421,ORD00013779,2023-01-04 23:57:23,credit_card,paid,2683.59,USD
PAY00015186,ORD00013565,2023-01-05 04:59:12,credit_card,paid,193.17,USD
PAY00011683,ORD00010429,2023-01-05 06:48:08,credit_card,paid,2888.33,USD
PAY00015900,ORD00014196,2023-01-05 08:31:22,credit_card,failed,1196.63,USD
PAY00016730,ORD00014939,2023-01-05 08:59:37,paypal,pending,739.06,USD
PAY00013011,ORD00011618,2023-01-05 09:45:42,credit_card,paid,149.41,USD
PAY00010725,ORD00009561,2023-01-05 10:11:37,debit_card,pending,216.76,USD
PAY00010413,ORD00009284,2023-01-05 10:24:00,wallet,paid,1222.09,USD
PAY00015422,ORD00013779,2023-01-05 11:34:23,paypal,paid,2683.59,USD
PAY00012740,ORD00011372,2023-01-05 12:54:11,bank_transfer,paid,883.51,USD
PAY00012963,ORD00011573,2023-01-05 17:38:16,credit_card,pending,446.83,USD
PAY00010441,ORD00009308,2023-01-05 18:26:16,credit_card,pending,1190.14,USD
PAY00005945,ORD00005295,2023-01-05 20:11:57,paypal,paid,720.63,USD
PAY00002934,ORD00002625,2023-01-05 20:15:27,debit_card,paid,239.19,USD
PAY00010906,ORD00009725,2023-01-05 20:25:39,credit_card,paid,6923.86,USD
PAY00011077,ORD00009878,2023-01-05 20:45:28,paypal,paid,365.95,USD
PAY00015632,ORD00013958,2023-01-05 23:22:39,credit_card,paid,632.42,USD
PAY00016267,ORD00014521,2023-01-06 01:38:08,bank_transfer,paid,153.05,USD
PAY00007137,ORD00006351,2023-01-06 02:47:49,credit_card,paid,2326.46,USD
PAY00009630,ORD00008593,2023-01-06 03:01:19,credit_card,paid,532.59,USD
PAY00014530,ORD00012975,2023-01-06 04:04:20,debit_card,failed,142.95,USD
PAY00010226,ORD00009118,2023-01-06 05:19:05,debit_card,pending,157.42,USD
PAY00015180,ORD00013560,2023-01-06 05:45:15,bank_transfer,failed,421.06,USD
PAY00010492,ORD00009354,2023-01-06 06:43:26,paypal,paid,864.35,USD
PAY00010493,ORD00009354,2023-01-06 07:30:26,bank_transfer,paid,864.35,USD
PAY00015514,ORD00013859,2023-01-06 11:08:51,credit_card,paid,2729.93,USD
PAY00014885,ORD00013294,2023-01-06 15:10:09,paypal,paid,2200.54,USD
PAY00005063,ORD00004514,2023-01-06 16:49:17,paypal,paid,429.97,USD
PAY00012607,ORD00011259,2023-01-06 18:28:43,debit_card,failed,1040.71,USD
PAY00002026,ORD00001809,2023-01-06 19:17:09,paypal,paid,2338.64,USD
PAY00003858,ORD00003448,2023-01-06 19:21:12,paypal,paid,4001.05,USD
PAY00005064,ORD00004514,2023-01-06 19:42:17,wallet,paid,429.97,USD
PAY00010273,ORD00009160,2023-01-06 19:54:23,paypal,paid,386.53,USD
PAY00003859,ORD00003448,2023-01-06 20:26:12,paypal,paid,4001.05,USD
PAY00010274,ORD00009160,2023-01-07 02:06:23,credit_card,paid,386.53,USD
PAY00003073,ORD00002753,2023-01-07 11:32:05,credit_card,paid,157.61,USD
PAY00001643,ORD00001475,2023-01-07 11:57:37,credit_card,paid,6415.28,USD
PAY00015454,ORD00013808,2023-01-07 14:26:44,credit_card,paid,2288.22,USD
PAY00002383,ORD00002135,2023-01-07 16:56:11,credit_card,pending,2706.12,USD
PAY00010174,ORD00009073,2023-01-07 16:57:25,credit_card,paid,2413.39,USD
PAY00013105,ORD00011699,2023-01-07 17:18:04,debit_card,paid,1050.74,USD
PAY00016725,ORD00014935,2023-01-07 18:26:54,credit_card,paid,1496.23,USD
PAY00016012,ORD00014296,2023-01-08 02:07:30,debit_card,pending,1035.55,USD
PAY00008442,ORD00007528,2023-01-08 08:00:32,paypal,paid,912.03,USD
PAY00000711,ORD00000627,2023-01-08 08:01:07,debit_card,paid,2348.88,USD
PAY00000444,ORD00000389,2023-01-08 13:20:44,credit_card,paid,1068.84,USD
PAY00000445,ORD00000389,2023-01-08 16:15:44,debit_card,failed,1068.84,USD
PAY00011758,ORD00010497,2023-01-08 16:22:01,paypal,failed,1942.8,USD
PAY00005693,ORD00005068,2023-01-08 19:01:22,credit_card,paid,204.32,USD
PAY00010771,ORD00009602,2023-01-08 20:13:34,credit_card,paid,698.39,USD
PAY00000398,ORD00000351,2023-01-08 20:15:33,credit_card,failed,1292.28,USD
PAY00002226,ORD00001998,2023-01-08 21:28:21,credit_card,paid,906.6,USD
PAY00007417,ORD00006611,2023-01-08 21:29:00,debit_card,paid,3019.79,USD
PAY00003742,ORD00003344,2023-01-09 01:00:07,paypal,paid,3365.14,USD
PAY00016790,ORD00014992,2023-01-09 01:57:06,bank_transfer,paid,222.4,USD
PAY00004891,ORD00004355,2023-01-09 02:10:13,credit_card,paid,1524.71,USD
PAY00006270,ORD00005585,2023-01-09 05:49:22,credit_card,pending,4242.82,USD
PAY00010373,ORD00009247,2023-01-09 06:30:40,debit_card,paid,540.58,USD
PAY00014237,ORD00012706,2023-01-09 10:04:46,credit_card,failed,132.55,USD
PAY00011961,ORD00010676,2023-01-09 13:06:45,credit_card,paid,471.18,USD
PAY00000623,ORD00000548,2023-01-09 13:47:57,credit_card,paid,6390.8,USD
PAY00016467,ORD00014700,2023-01-09 16:24:06,credit_card,paid,7062.33,USD
PAY00006923,ORD00006162,2023-01-09 17:14:50,wallet,paid,1750.32,USD
PAY00007071,ORD00006294,2023-01-09 17:23:30,credit_card,paid,124.35,USD
PAY00013045,ORD00011647,2023-01-09 17:41:35,wallet,failed,1399.15,USD
PAY00006978,ORD00006211,2023-01-09 17:43:25,credit_card,paid,398.5,USD
PAY00006924,ORD00006162,2023-01-09 18:49:50,wallet,paid,1750.32,USD
PAY00001484,ORD00001333,2023-01-09 23:23:45,paypal,paid,797.62,USD
PAY00012695,ORD00011332,2023-01-10 02:15:36,credit_card,paid,247.35,USD
PAY00016163,ORD00014429,2023-01-10 02:20:49,credit_card,pending,168.95,USD
PAY00016552,ORD00014777,2023-01-10 03:27:15,credit_card,failed,1304.35,USD
PAY00006979,ORD00006211,2023-01-10 05:04:25,paypal,failed,398.5,USD
PAY00015751,ORD00014061,2023-01-10 08:42:54,credit_card,pending,803.78,USD
PAY00006114,ORD00005445,2023-01-10 08:56:17,credit_card,pending,284.45,USD
PAY00006115,ORD00005445,2023-01-10 09:37:17,wallet,failed,284.45,USD
PAY00004288,ORD00003827,2023-01-10 09:43:12,credit_card,paid,1497.53,USD
PAY00016420,ORD00014658,2023-01-10 11:04:20,debit_card,paid,223.88,USD
PAY00014521,ORD00012967,2023-01-10 13:02:19,debit_card,paid,6405.66,USD
PAY00001574,ORD00001412,2023-01-10 14:22:24,paypal,paid,8588.78,USD
PAY00012377,ORD00011052,2023-01-10 14:36:36,credit_card,paid,2079.99,USD
PAY00001575,ORD00001412,2023-01-10 18:35:24,bank_transfer,paid,8588.78,USD
PAY00015054,ORD00013447,2023-01-10 19:10:30,debit_card,paid,6133.61,USD
PAY00011531,ORD00010293,2023-01-10 20:08:54,debit_card,paid,3123.32,USD
PAY00014316,ORD00012778,2023-01-10 20:09:34,paypal,pending,5924.25,USD
PAY00008899,ORD00007940,2023-01-10 20:39:49,wallet,failed,1728.81,USD
PAY00011571,ORD00010328,2023-01-10 22:33:07,credit_card,pending,3537.69,USD
PAY00002120,ORD00001900,2023-01-10 23:38:46,credit_card,pending,1743.73,USD
PAY00007896,ORD00007033,2023-01-10 23:42:33,credit_card,paid,841.72,USD
PAY00010558,ORD00009413,2023-01-10 23:44:28,credit_card,paid,404.07,USD
PAY00011121,ORD00009918,2023-01-11 02:56:04,bank_transfer,paid,2671.24,USD
PAY00006142,ORD00005469,2023-01-11 03:08:11,wallet,paid,3725.34,USD
PAY00007741,ORD00006893,2023-01-11 03:29:55,credit_card,pending,955.84,USD
PAY00013054,ORD00011656,2023-01-11 04:55:34,paypal,paid,179.9,USD
PAY00015925,ORD00014219,2023-01-11 06:35:40,paypal,paid,1522.42,USD
PAY00002449,ORD00002194,2023-01-11 07:05:09,credit_card,failed,2380.04,USD
PAY00001491,ORD00001340,2023-01-11 07:39:36,credit_card,paid,155.15,USD
PAY00003346,ORD00002993,2023-01-11 07:41:09,credit_card,pending,537.06,USD
PAY00011572,ORD00010328,2023-01-11 09:51:07,credit_card,failed,3537.69,USD
PAY00003870,ORD00003458,2023-01-11 12:21:26,debit_card,paid,667.77,USD
PAY00016741,ORD00014948,2023-01-11 12:48:18,debit_card,pending,2821.03,USD
PAY00013055,ORD00011656,2023-01-11 12:56:34,wallet,failed,179.9,USD
PAY00008394,ORD00007486,2023-01-11 14:21:10,paypal,paid,8547.61,USD
PAY00015343,ORD00013705,2023-01-11 17:44:49,debit_card,paid,993.25,USD
PAY00013698,ORD00012230,2023-01-11 18:01:26,credit_card,paid,741.26,USD
PAY00015543,ORD00013883,2023-01-11 20:23:49,credit_card,paid,784.08,USD
PAY00008919,ORD00007959,2023-01-11 20:47:51,credit_card,paid,2410.75,USD
PAY00000624,ORD00000549,2023-01-12 02:33:55,paypal,failed,698.23,USD
PAY00015544,ORD00013883,2023-01-12 02:45:49,credit_card,paid,784.08,USD
PAY00003699,ORD00003306,2023-01-12 04:01:37,credit_card,paid,294.56,USD
PAY00004438,ORD00003961,2023-01-12 05:31:45,paypal,paid,597.53,USD
PAY00000937,ORD00000836,2023-01-12 05:33:21,credit_card,failed,656.3,USD
PAY00015957,ORD00014245,2023-01-12 06:44:06,credit_card,paid,2369.86,USD
PAY00004443,ORD00003965,2023-01-12 08:02:43,paypal,paid,615.54,USD
PAY00007961,ORD00007089,2023-01-12 08:57:29,debit_card,pending,874.19,USD
PAY00004846,ORD00004318,2023-01-12 09:45:01,paypal,failed,2268.15,USD
PAY00000340,ORD00000299,2023-01-12 10:59:14,debit_card,pending,987.93,USD
PAY00016054,ORD00014334,2023-01-12 13:19:26,bank_transfer,pending,200.39,USD
PAY00010109,ORD00009020,2023-01-12 14:18:05,bank_transfer,paid,585.7,USD
PAY00010279,ORD00009165,2023-01-12 15:20:04,wallet,pending,9336.56,USD
PAY00011444,ORD00010210,2023-01-12 20:24:07,credit_card,pending,1600.49,USD
PAY00005591,ORD00004980,2023-01-12 22:19:23,paypal,paid,2456.79,USD
PAY00010110,ORD00009020,2023-01-13 01:15:05,credit_card,failed,585.7,USD
PAY00006652,ORD00005923,2023-01-13 03:20:56,debit_card,pending,1350.18,USD
PAY00002902,ORD00002596,2023-01-13 07:33:10,bank_transfer,paid,358.18,USD
PAY00007207,ORD00006418,2023-01-13 08:36:12,paypal,paid,515.51,USD
PAY00013348,ORD00011914,2023-01-13 09:27:15,credit_card,paid,1099.37,USD
PAY00013802,ORD00012323,2023-01-13 09:38:13,credit_card,paid,674.22,USD
PAY00006738,ORD00005999,2023-01-13 10:02:54,credit_card,paid,2258.38,USD
PAY00006653,ORD00005923,2023-01-13 11:37:56,debit_card,paid,1350.18,USD
PAY00004948,ORD00004406,2023-01-13 11:57:19,credit_card,pending,10640.95,USD
PAY00003833,ORD00003425,2023-01-13 13:21:46,credit_card,paid,4413.19,USD
PAY00006739,ORD00005999,2023-01-13 14:56:54,debit_card,paid,2258.38,USD
PAY00002903,ORD00002596,2023-01-13 15:23:10,wallet,failed,358.18,USD
PAY00014861,ORD00013273,2023-01-13 20:27:24,paypal,pending,2067.57,USD
PAY00013349,ORD00011914,2023-01-13 21:08:15,wallet,paid,1099.37,USD
PAY00006030,ORD00005371,2023-01-13 23:15:48,wallet,paid,1971.68,USD
PAY00001290,ORD00001154,2023-01-14 00:07:14,paypal,paid,180.01,USD
PAY00000789,ORD00000701,2023-01-14 02:09:06,credit_card,paid,3420.98,USD
PAY00015284,ORD00013651,2023-01-14 02:30:03,paypal,paid,1744.89,USD
PAY00010889,ORD00009708,2023-01-14 02:52:06,paypal,failed,1206.51,USD
PAY00001958,ORD00001749,2023-01-14 04:22:51,credit_card,pending,240.51,USD
PAY00014162,ORD00012642,2023-01-14 04:23:14,debit_card,paid,2450.07,USD
PAY00014930,ORD00013335,2023-01-14 04:51:46,credit_card,paid,1473.68,USD
PAY00014163,ORD00012642,2023-01-14 05:15:14,bank_transfer,failed,2450.07,USD
PAY00001959,ORD00001749,2023-01-14 05:24:51,paypal,failed,240.51,USD
PAY00013074,ORD00011672,2023-01-14 06:11:10,credit_card,paid,58.97,USD
PAY00007898,ORD00007035,2023-01-14 08:01:58,debit_card,paid,5569.19,USD
PAY00013259,ORD00011833,2023-01-14 09:12:01,bank_transfer,paid,5983.01,USD
PAY00011814,ORD00010549,2023-01-14 15:45:52,bank_transfer,paid,2591.07,USD
PAY00009797,ORD00008743,2023-01-14 15:49:34,credit_card,paid,1838.94,USD
PAY00004894,ORD00004358,2023-01-14 18:41:50,credit_card,paid,7982.68,USD
PAY00005068,ORD00004517,2023-01-14 18:44:26,paypal,paid,195.74,USD
PAY00015762,ORD00014072,2023-01-14 19:12:35,credit_card,failed,347.1,USD
PAY00015205,ORD00013581,2023-01-14 22:21:14,credit_card,paid,4664.5,USD
PAY00016568,ORD00014792,2023-01-14 22:34:51,credit_card,paid,2854.32,USD
PAY00014359,ORD00012817,2023-01-15 02:44:16,bank_transfer,paid,4423.68,USD
PAY00000933,ORD00000832,2023-01-15 07:28:16,paypal,pending,1688.26,USD
PAY00004570,ORD00004072,2023-01-15 09:30:22,debit_card,pending,545.07,USD
PAY00010127,ORD00009033,2023-01-15 10:30:17,credit_card,paid,320.37,USD
PAY00003685,ORD00003293,2023-01-15 13:25:21,paypal,paid,1113.37,USD
PAY00005161,ORD00004601,2023-01-15 15:11:52,credit_card,pending,375.44,USD
PAY00015503,ORD00013848,2023-01-15 16:24:40,paypal,paid,878.99,USD
PAY00003661,ORD00003273,2023-01-15 22:51:59,credit_card,paid,224.72,USD
PAY00005761,ORD00005128,2023-01-15 23:45:39,credit_card,paid,281.47,USD
PAY00015590,ORD00013922,2023-01-16 01:03:09,credit_card,pending,1675.56,USD
PAY00015117,ORD00013506,2023-01-16 02:36:02,credit_card,paid,442.29,USD
PAY00015157,ORD00013541,2023-01-16 03:20:56,credit_card,failed,8402.23,USD
PAY00012955,ORD00011565,2023-01-16 03:54:24,wallet,failed,8651.42,USD
PAY00012888,ORD00011502,2023-01-16 04:00:43,credit_card,failed,3775.64,USD
PAY00005965,ORD00005313,2023-01-16 04:26:18,paypal,paid,323.26,USD
PAY00000818,ORD00000729,2023-01-16 06:08:08,debit_card,failed,400.19,USD
PAY00004779,ORD00004254,2023-01-16 09:40:54,credit_card,paid,683.63,USD
PAY00014406,ORD00012858,2023-01-16 09:47:57,debit_card,paid,2343.09,USD
PAY00016025,ORD00014308,2023-01-16 11:05:57,credit_card,pending,209.02,USD
PAY00003364,ORD00003011,2023-01-16 11:19:53,credit_card,paid,3857.18,USD
PAY00003871,ORD00003459,2023-01-16 11:40:14,debit_card,paid,801.42,USD
PAY00014411,ORD00012863,2023-01-16 12:09:28,bank_transfer,paid,142.16,USD
PAY00005509,ORD00004908,2023-01-16 12:13:24,credit_card,paid,95.9,USD
PAY00013928,ORD00012432,2023-01-16 14:19:59,credit_card,pending,329.02,USD
PAY00013170,ORD00011754,2023-01-16 20:52:38,credit_card,pending,1380.64,USD
PAY00015906,ORD00014201,2023-01-17 00:20:08,credit_card,pending,920.15,USD
PAY00013171,ORD00011754,2023-01-17 01:35:38,bank_transfer,pending,1380.64,USD
PAY00005823,ORD00005183,2023-01-17 04:30:31,debit_card,paid,133.77,USD
PAY00005100,ORD00004547,2023-01-17 05:18:43,paypal,paid,2255.39,USD
PAY00007153,ORD00006366,2023-01-17 05:33:59,paypal,pending,874.48,USD
PAY00014771,ORD00013188,2023-01-17 07:06:13,credit_card,paid,862.61,USD
PAY00005101,ORD00004547,2023-01-17 07:23:43,wallet,paid,2255.39,USD
PAY00000924,ORD00000824,2023-01-17 09:48:58,debit_card,paid,493.49,USD
PAY00001956,ORD00001748,2023-01-17 10:42:33,paypal,paid,1589.97,USD
PAY00003797,ORD00003391,2023-01-17 12:03:26,credit_card,paid,400.87,USD
PAY00001957,ORD00001748,2023-01-17 12:50:33,debit_card,paid,1589.97,USD
PAY00011197,ORD00009985,2023-01-17 14:06:22,bank_transfer,pending,239.19,USD
PAY00007067,ORD00006291,2023-01-17 14:06:48,credit_card,paid,529.32,USD
PAY00004833,ORD00004307,2023-01-17 15:40:35,wallet,paid,1250.74,USD
PAY00013938,ORD00012441,2023-01-17 16:53:17,paypal,paid,3763.36,USD
PAY00000680,ORD00000599,2023-01-17 18:13:45,credit_card,paid,1884.36,USD
PAY00016251,ORD00014507,2023-01-17 18:35:03,credit_card,paid,76.27,USD
PAY00001865,ORD00001670,2023-01-17 19:11:03,paypal,paid,2464.64,USD
PAY00015838,ORD00014141,2023-01-17 20:23:08,credit_card,paid,1333.76,USD
PAY00009065,ORD00008093,2023-01-18 01:34:14,paypal,paid,1019.73,USD
PAY00005341,ORD00004764,2023-01-18 02:02:09,paypal,paid,1241.82,USD
PAY00006187,ORD00005510,2023-01-18 03:45:31,credit_card,paid,10383.0,USD
PAY00004072,ORD00003635,2023-01-18 05:04:55,credit_card,paid,939.12,USD
PAY00013020,ORD00011625,2023-01-18 05:52:48,credit_card,paid,3188.0,USD
PAY00009884,ORD00008822,2023-01-18 06:27:15,credit_card,pending,1725.57,USD
PAY00016632,ORD00014849,2023-01-18 07:50:43,credit_card,paid,1619.46,USD
PAY00000395,ORD00000348,2023-01-18 08:39:35,debit_card,paid,3044.09,USD
PAY00004171,ORD00003721,2023-01-18 10:05:43,credit_card,paid,2174.27,USD
PAY00009222,ORD00008230,2023-01-18 12:05:36,bank_transfer,paid,3129.3,USD
PAY00009500,ORD00008476,2023-01-18 12:14:42,credit_card,paid,1043.52,USD
PAY00001568,ORD00001406,2023-01-18 15:50:33,bank_transfer,paid,1304.66,USD
PAY00016704,ORD00014916,2023-01-18 16:28:07,paypal,paid,21.4,USD
PAY00014739,ORD00013160,2023-01-18 16:51:05,credit_card,paid,1860.62,USD
PAY00001202,ORD00001075,2023-01-18 19:41:16,credit_card,paid,815.5,USD
PAY00012096,ORD00010800,2023-01-18 22:25:10,wallet,paid,1484.04,USD
PAY00010678,ORD00009520,2023-01-18 22:37:18,credit_card,paid,1332.72,USD
PAY00005635,ORD00005021,2023-01-19 00:22:20,credit_card,paid,6853.41,USD
PAY00012164,ORD00010861,2023-01-19 01:52:52,credit_card,pending,3335.88,USD
PAY00005636,ORD00005021,2023-01-19 01:56:20,bank_transfer,failed,6853.41,USD
PAY00010540,ORD00009396,2023-01-19 04:32:35,credit_card,paid,683.09,USD
PAY00012165,ORD00010861,2023-01-19 04:43:52,paypal,failed,3335.88,USD
PAY00000102,ORD00000088,2023-01-19 04:44:07,credit_card,paid,1975.1,USD
PAY00008068,ORD00007187,2023-01-19 05:53:26,debit_card,paid,215.81,USD
PAY00005148,ORD00004589,2023-01-19 09:12:29,credit_card,paid,619.44,USD
PAY00014763,ORD00013180,2023-01-19 12:37:38,paypal,paid,1247.83,USD
PAY00004217,ORD00003764,2023-01-19 14:42:53,credit_card,paid,4217.89,USD
PAY00008931,ORD00007970,2023-01-19 15:53:10,paypal,paid,1606.92,USD
PAY00014998,ORD00013401,2023-01-19 16:50:46,credit_card,paid,186.45,USD
PAY00009921,ORD00008856,2023-01-19 19:52:11,paypal,paid,2785.93,USD
PAY00009502,ORD00008478,2023-01-20 00:09:35,credit_card,paid,743.59,USD
PAY00007318,ORD00006519,2023-01-20 00:14:43,credit_card,paid,667.15,USD
PAY00002426,ORD00002174,2023-01-20 01:16:20,debit_card,failed,863.98,USD
PAY00007658,ORD00006824,2023-01-20 01:27:41,credit_card,paid,2027.31,USD
PAY00003808,ORD00003402,2023-01-20 03:09:05,wallet,paid,677.81,USD
PAY00015025,ORD00013423,2023-01-20 05:52:54,credit_card,paid,422.35,USD
PAY00008327,ORD00007423,2023-01-20 07:20:23,credit_card,pending,1395.72,USD
PAY00002237,ORD00002008,2023-01-20 08:48:45,credit_card,pending,102.92,USD
PAY00016196,ORD00014459,2023-01-20 09:13:14,credit_card,failed,925.25,USD
PAY00014931,ORD00013336,2023-01-20 09:19:26,credit_card,pending,7813.93,USD
PAY00005286,ORD00004714,2023-01-20 09:25:08,paypal,pending,5477.85,USD
PAY00000991,ORD00000886,2023-01-20 16:16:22,paypal,paid,2658.16,USD
PAY00016118,ORD00014392,2023-01-20 18:12:06,credit_card,paid,744.58,USD
PAY00005957,ORD00005306,2023-01-20 20:10:19,debit_card,failed,1870.69,USD
PAY00016754,ORD00014959,2023-01-20 20:15:38,bank_transfer,pending,135.72,USD
PAY00000022,ORD00000018,2023-01-20 20:42:55,debit_card,paid,1078.87,USD
PAY00014444,ORD00012894,2023-01-20 21:11:09,paypal,pending,250.33,USD
PAY00000230,ORD00000199,2023-01-20 23:02:09,credit_card,failed,2366.56,USD
PAY00004338,ORD00003870,2023-01-21 00:54:46,credit_card,paid,2945.92,USD
PAY00007076,ORD00006299,2023-01-21 05:33:12,credit_card,failed,2078.7,USD
PAY00000260,ORD00000227,2023-01-21 06:02:44,debit_card,paid,3253.01,USD
PAY00012628,ORD00011276,2023-01-21 07:09:15,credit_card,paid,1427.05,USD
PAY00013174,ORD00011757,2023-01-21 07:28:53,credit_card,paid,657.14,USD
PAY00001102,ORD00000986,2023-01-21 08:31:07,credit_card,pending,3668.37,USD
PAY00010897,ORD00009716,2023-01-21 11:14:23,credit_card,paid,6991.6,USD
PAY00005297,ORD00004723,2023-01-21 12:41:58,credit_card,paid,398.28,USD
PAY00012629,ORD00011276,2023-01-21 12:57:15,credit_card,failed,1427.05,USD
PAY00015475,ORD00013825,2023-01-21 13:22:04,credit_card,pending,1671.88,USD
PAY00007077,ORD00006299,2023-01-21 15:38:12,paypal,failed,2078.7,USD
PAY00009264,ORD00008269,2023-01-21 16:14:23,credit_card,paid,720.37,USD
PAY00004250,ORD00003794,2023-01-21 17:51:59,credit_card,paid,1276.35,USD
PAY00003197,ORD00002862,2023-01-21 18:49:53,paypal,pending,2084.72,USD
PAY00016128,ORD00014399,2023-01-21 21:25:21,credit_card,paid,405.37,USD
PAY00005160,ORD00004600,2023-01-22 01:51:03,debit_card,paid,98.53,USD
PAY00003198,ORD00002862,2023-01-22 02:39:53,paypal,paid,2084.72,USD
PAY00009265,ORD00008269,2023-01-22 03:27:23,paypal,paid,686.73,USD
PAY00005153,ORD00004593,2023-01-22 03:43:26,credit_card,pending,3686.47,USD
PAY00006938,ORD00006176,2023-01-22 04:19:32,debit_card,paid,2057.51,USD
PAY00006838,ORD00006088,2023-01-22 05:14:09,paypal,paid,502.45,USD
PAY00012390,ORD00011063,2023-01-22 05:24:21,credit_card,paid,1697.32,USD
PAY00010451,ORD00009318,2023-01-22 10:10:38,paypal,failed,159.26,USD
PAY00003213,ORD00002876,2023-01-22 14:11:54,credit_card,paid,310.41,USD
PAY00004843,ORD00004316,2023-01-22 15:03:21,credit_card,pending,5030.97,USD
